gene,A. fumigatus gene ID,experiment
HIS3,AFUA_6G04700,1
LYS9,AFUA_4G11340,1
MET16,AFUA_3G06540,1
MET2,AFUA_5G07210/AFUA_1G15350,1
TRP5,AFUA_6G13520/AFUA_2G13250,1
TRR1,AFUA_4G12990/AFUA_5G05770,1
FKS1,AFUA_6G12400/AFUA_5G05770,1
GFA1,AFUA_6G06340,1
AUR1,AFUA_3G09960,1
CDS1,AFUA_1G07010,1
HEM15,AFUA_5G07750,1
IPP1,AFUA_6G08490/AFUA_3G08380,1
SPE2,AFUA_5G03670,1
OLE1,AFUA_7G05920,1
ERG10,AFUA_8G04000/AFUA_6G14200,1
ERG12,AFUA_4G07780,1
EXG1,AFUA_1G03600/AFUA_1G11460/AFUA_1G14450/AFUA_2G00430/AFUA_3G07520/AFUA_6G09250/AFUA_6G11980/AFUA_6G13270,0
CHS2,AFUA_1G12600/AFUA_8G05630/AFUA_5G00760/AFUA_4G04180/AFUA_3G14420/AFUA_2G13440/AFUA_2G13430/AFUA_2G01870,0
ERG11,AFUA_4G06890/AFUA_7G03740,0
ERG27,AFUA_4G11500,0