,agora,coreco
0,glc_D,C00031
1,h2o,C00001
2,o2,C00007
3,pi,C00009
4,fe2,CHEBI29033
5,so4,C00059
6,nh4,C01342
7,acald,C00084
8,ac,C00033
9,hco3,C00288
10,etoh,C00469
11,co2,C00011
12,glyc,C00116
13,bglc,CHEBI37671
14,crn,C00318
15,lac_D,C00256
16,mev_R,C00418
17,3mop,C00671
18,mal_D,C00497
19,agpc_EC,C04230
20,dad_2,C00559
21,dgsn,C00330
22,din,C05512
23,duri,C00526
24,2ippm,C02504
25,2mbtoh,CHEBI48945
26,akg,C00026
27,pea,C05853
28,2mbald,C02223
29,5aop,C00430
30,8aonn,C01092
31,xan,C00385
32,ade,C00147
33,pap,C00054
34,adn,C00212
35,alltt,C00499
36,alltn,C01551
37,tre,C01083
38,gam6p,C00352
39,cit,C00158
40,cytd,C00475
41,csn,C00380
42,arab_D,C00216
43,fru,C00095
44,gal,C00124
45,galur,C00333
46,sbt_D,C00794
47,man,C00159
48,rib_D,C00121
49,xyl_D,C00181
50,dcyt,C00881
51,ttp,C00459
52,epist,C15777
53,ergst,C01694
54,etha,C00189
55,fecont,C04525
56,fmn,C00061
57,fol,C00504
58,for,C00058
59,fum,C00122
60,4abut,C00334
61,gthox,C00127
62,gthrd,C00051
63,gly,C00037
64,gcald,C00266
65,glx,C00048
66,gua,C00242
67,gsn,C00387
68,hxan,C00262
69,id3acald,C00637
70,ins,C00294
71,iamoh,C07328
72,ibutoh,C14710
73,2mppal,CHEBI48943
74,ala_L,C00133
75,abt_L,C00532
76,arab_L,C00259
77,arg_L,C00062
78,asn_L,C00152
79,asp_L,C00049
80,cys_L,C00097
81,glu_L,C00025
82,gln_L,C00064
83,his_L,C00135
84,ile_L,C00407
85,leu_L,C00123
86,lys_L,C00047
87,met_L,C00073
88,phe_L,C00079
89,pro_L,C00148
90,ser_L,C00065
91,srb_L,C00247
92,thr_L,C00188
93,trp_L,C00078
94,tyr_L,C00082
95,val_L,C00183
96,lanost,C01724
97,ddca,C02679
98,malt,C00208
99,nac,C00253
100,nmn,C00455
101,octa,C06423
102,orn_D,C00515
103,orn,C00077
104,oaa,C00036
105,hdca,C00249
106,pect,CHEBI17309
107,pheac,C12303
108,pacald,C00601
109,ptrc,C00134
110,pydxn,C00314
111,pyr,C00022
112,ribflv,C00255
113,amet,C00019
114,mmet,C03172
115,g3pc,C00670
116,spmd,C00315
117,sprm,C00750
118,ocdca,C01530
119,succ,C00042
120,sucr,C00089
121,thmpp,C00068
122,thm,C00378
123,thmmp,C01081
124,thymd,C00214
125,ind3eth,C00955
126,ura,C00106
127,urea,C00086
128,uri,C00299
129,xtsn,C01762
130,xylt,C00379
131,zymst,C05437
132,ergtetrol,C05440
133,but,C00246
134,raffin,C00492
135,melib,C05402
136,pnto_R,C00864
137,2doxg6p,C06369
138,citac,C02226
139,camp,C00575
140,pser_L,C01005
141,gam,C00329
142,tsul,C00320
143,citr_L,C00327
144,mma,C00218
145,peamn,C05332
146,agm,C00179
147,amp,C00020
148,acgal,C01132
149,alaasp,Cluster3898
150,ppi,C00013
151,fuc_L,C01019
152,glymet,Cluster168
153,5oxpro,C01879
154,malttr,CHEBI27931
155,C06555,C06555
156,glyasp,Cluster363
157,hom_L,C00263
158,acmana,C00645
159,4hphac,C00642
160,glcr,C00818
161,3sala,C00606
162,pep,C00074
163,ump,C00105
164,g1p,C00103
165,2obut,C00109
166,alaleu,Cluster2744
167,galt,C01697
168,alagln,Cluster1480
169,thrp,C12147
170,lcts,C00243
171,no3,C00244
172,tym,C00483
173,frmd,C00488
174,arbt,C06186
175,cholp,C00588
176,12ppd_R,C00583
177,2dglc,C00586
178,man6p,C00275
179,acnam,C00270
180,rbt,C00474
181,2pglyc,C00988
182,alaglu,Cluster4793
183,cmp,C00055
184,salcn,C01451
185,23cgmp,C06194
186,metsox_S_L,C02989
187,crn_D,C15025
188,lys_D,C00739
189,glygln,Cluster419
190,23camp,C02353
191,23cump,C02355
192,23ccmp,C02354
193,met_D,C00855
194,man1p,C00636
195,2pg,C00631
196,mal_L,C00149
197,gmp,C00144
198,pser_D,C02532
199,acglu,C00624
200,4hbz,C00156
201,4hpro_LT,C01157
202,alahis,Cluster5933
203,35cgmp,C00942
204,5aptn,C00431
205,hista,C00388
206,cyst_L,C00542
207,urate,C00366
208,dtmp,C00364
209,g6p,C00092
210,acac,C00164
211,glyclt,C00160
212,ppa,C00163
213,cgly,C01419
214,glyasn,Cluster2052
215,alagly,Cluster774
216,aacald,C06735
217,mnl,C00392
218,f6p,C00085
219,no2,C00088
220,thym,C00178
221,6pgc,C00345
222,ethamp,C00346
223,alathr,Cluster843
224,lac_L,C00186
225,dha,C00184
226,cellb,C00185
227,glygn2,C00182
228,abt_D,C01904
229,hxcoa,C01585
230,stys,C01613
231,dextrin,C00721
232,im4ac,C02835
233,ad,C06244
234,glyglu,Cluster4672
235,3pg,C00197
236,glcn,C00257
237,taur,C00245
238,inost,C00137
239,hyptaur,C00519
240,cysam,C01678
241,Lcyst,C00506
242,dca,C01571
243,drib,C01801
244,C00797,C00797
245,pppi,C00536
246,cbp,C00169
247,minohp,C01204
248,lpam,C00248
249,44mctr,C11455
250,44mzym,C05108
251,5fthf,C03479
252,accoa,C00024
253,acgam,C00140
254,ala_B,C00099
255,anth,C00108
256,atp,C00002
257,bhb,C01089
258,bz,C00180
259,CE5126,C01089
260,chol,C00114
261,dhap,C00111
262,e4p,C00279
263,elaid,C00712
264,g3p,C00118
265,g6p_B,C01172
266,galctn_D,C00880
267,glcur,C00191
268,HC00342,C00417
269,HC02050,C00416
270,HC02051,C00416
271,HC02052,C00416
272,HC02053,C00416
273,HC02054,C00416
274,HC02063,C00162
275,HC02064,C00162
276,HC02065,C00162
277,HC02066,C00162
278,HC02067,C00162
279,HC02068,C00162
280,HC02069,C00162
281,HC02070,C00162
282,HC02071,C01885
283,HC02072,C01885
284,HC02073,C01885
285,HC02074,C01885
286,HC02075,C01885
287,HC02076,C01885
288,HC02086,C00416
289,HC02093,C00416
290,HC02111,C00002
291,HC02112,C00004
292,hdcea,C08362
293,icit,C00311
294,indole,C00463
295,Lkynr,C00328
296,M00127,C00712
297,M00503,C01885
298,M00510,C01885
299,M01389,C01172
300,M01819,C00162
301,M01820,C00162
302,meoh,C00132
303,nadh,C00004
304,nadph,C00005
305,ncam,C00153
306,ocdcea,C00712
307,pac,C07086
308,phpyr,C00166
309,quln,C03722
310,r5p,C00117
311,rbl_D,C00309
312,so3,C00094
313,succoa,C00091
314,ttdca,C06424
315,xylu_D,C00310